Date,Open*,High,Low,Close**,Volume,Market Cap
9-Apr-20,46.35,46.58,45.17,46.38,"3,628,019,378","2,990,629,539"
8-Apr-20,44.68,46.75,44.35,46.32,"3,831,132,142","2,986,094,917"
7-Apr-20,44.4,47.2,44.11,44.67,"4,391,267,713","2,879,255,750"
6-Apr-20,40.66,44.49,40.54,44.39,"4,287,968,687","2,861,077,283"
5-Apr-20,40.69,41,39.93,40.67,"3,084,146,015","2,620,968,039"
4-Apr-20,40.34,40.83,39.96,40.68,"3,229,457,622","2,621,009,072"
3-Apr-20,39.89,41.08,39.68,40.36,"3,482,692,346","2,600,305,500"
2-Apr-20,39.36,41.65,39.25,39.87,"3,985,953,572","2,568,780,271"
1-Apr-20,39.28,39.38,37.45,39.38,"3,303,999,600","2,536,712,327"
31-Mar-20,39.12,39.37,38.68,39.3,"3,359,087,002","2,531,157,610"
30-Mar-20,37.26,39.32,37.26,39.14,"3,318,334,905","2,520,514,843"
29-Mar-20,38.87,38.93,37.21,37.33,"2,683,734,233","2,403,961,159"
28-Mar-20,38.86,39.33,37.1,38.87,"3,119,837,445","2,502,911,913"
27-Mar-20,40.18,40.6,38.89,38.92,"2,962,853,270","2,505,504,071"
26-Mar-20,39.17,40.17,38.79,40.16,"2,827,963,692","2,585,178,521"
25-Mar-20,40.48,40.7,38.55,39.15,"3,133,347,522","2,519,916,317"
24-Mar-20,38.75,40.75,38.27,40.49,"3,331,925,793","2,605,834,454"
23-Mar-20,35.58,38.85,35.42,38.77,"3,598,154,774","2,494,558,925"
22-Mar-20,38.37,39.48,35.5,35.63,"3,148,219,029","2,292,391,578"
