Open*,High,Low,Close**,Volume,Market Cap
688.01,699.05,629.93,643.03,"318,440,000","10,963,859,523"
697.62,735.82,683.99,685.25,"306,972,000","11,682,407,783"
712.41,766.97,677.53,697.01,"416,567,008","11,881,684,759"
861.61,867.31,703.18,714.27,"452,656,000","12,174,626,633"
876.36,897.63,852.88,860.52,"337,268,000","14,665,917,656"
916.99,926.38,876.33,876.33,"339,011,008","14,933,976,474"
967.9,975.61,887,919.25,"347,366,016","15,663,618,221"
973.6,991.07,965.52,966.88,"237,008,000","16,473,439,913"
"1,028.12","1,030.43",982.3,982.3,"264,080,000","16,734,538,466"
"1,011.83","1,019.43",966.4,"1,019.43","303,600,000","17,365,238,220"
"1,033.26","1,064.22",992.55,"1,011.52","344,283,008","17,228,587,960"
"1,066.03","1,082.35","1,016.37","1,033.45","389,291,008","17,600,286,488"
998.17,"1,072.42",958.51,"1,059.12","503,262,016","18,035,635,329"
942.6,997.28,915.51,994.67,"425,419,008","16,936,492,860"
948.28,948.28,851.61,938.11,"435,070,016","15,971,701,036"
974.7,"1,028.73",930.44,949.78,"411,316,000","16,168,562,807"
943.6,"1,053.63",902.78,977.03,"472,032,992","16,630,711,169"
949.77,954.41,877.1,943.64,"374,740,992","16,060,495,993"
"1,071.50","1,073.12",924.41,949.47,"406,616,000","16,158,029,406"
"1,051.07","1,100.07",999.75,"1,064.03","458,028,000","18,105,827,088"
"1,143.94","1,152.56","1,022.03","1,051.28","425,558,016","17,886,964,137"
"1,002.55","1,157.07",973.35,"1,145.17","514,167,008","19,482,419,344"
"1,071.15","1,087.30",994.19,"1,005.93","370,367,008","17,111,762,063"
"1,034.69","1,071.65",937.97,"1,067.02","510,887,008","18,148,929,842"
"1,094.64","1,113.61","1,006.86","1,040.21","446,519,008","17,691,098,520"
"1,205.84","1,218.84","1,043.70","1,092.16","455,224,992","18,572,604,012"
"1,264.19","1,264.19","1,179.85","1,206.04","401,782,016","20,506,961,442"
"1,287.10","1,291.88","1,268.03","1,268.03","350,078,016","21,558,729,053"
"1,267.86","1,289.72","1,225.10","1,289.08","367,584,000","21,914,279,433"
"1,274.67","1,302.80","1,257.76","1,270.38","371,664,000","21,594,173,316"
"1,284.95","1,303.66","1,255.37","1,275.18","421,497,984","21,673,564,991"
"1,204.84","1,303.45","1,195.03","1,291.92","482,240,000","21,955,792,824"
"1,243.26","1,275.66","1,204.16","1,204.16","375,300,992","20,462,034,996"
"1,255.45","1,297.69","1,231.99","1,246.66","420,912,000","21,181,906,561"
"1,177.58","1,274.86","1,149.44","1,250.56","460,182,016","21,246,107,744"
"1,191.35","1,210.20","1,143.07","1,178.10","362,664,992","20,012,870,666"
"1,266.56","1,309.38","1,149.48","1,193.27","413,263,008","20,268,481,491"
"1,217.36","1,319.33","1,161.42","1,270.71","492,542,016","21,581,532,150"
